id;fiscal_year_id;period_number;period_label;start_date;end_date;status;created_at
86b909ee-e0e2-4417-a318-6098c751668b;a57dd30f-5bef-47b8-956a-870678b9a378;1;Janvier 2025;2024-12-31;2025-01-30;open;2026-07-13T15:21:16.500598+00:00
fb1f3bb1-1a29-4cb4-bdb7-d7a2a8b8ac00;a57dd30f-5bef-47b8-956a-870678b9a378;2;Février 2025;2025-01-31;2025-02-27;open;2026-07-13T15:21:16.500598+00:00
260626d3-29ad-400e-a5c7-4ad5a9fae5df;a57dd30f-5bef-47b8-956a-870678b9a378;3;Mars 2025;2025-02-28;2025-03-30;open;2026-07-13T15:21:16.500598+00:00
0d949bb9-8c6c-45bb-a325-18290551cec6;a57dd30f-5bef-47b8-956a-870678b9a378;4;Avril 2025;2025-03-31;2025-04-29;open;2026-07-13T15:21:16.500598+00:00
cb3c75bf-bb02-4192-8999-c868551d0c1e;a57dd30f-5bef-47b8-956a-870678b9a378;5;Mai 2025;2025-04-30;2025-05-30;open;2026-07-13T15:21:16.500598+00:00
5b14adc5-40df-4a47-9eaa-fdc9be4cfe4b;a57dd30f-5bef-47b8-956a-870678b9a378;6;Juin 2025;2025-05-31;2025-06-29;open;2026-07-13T15:21:16.500598+00:00
1bcc0ee7-5067-4bf8-b34d-a47ff195ca6c;a57dd30f-5bef-47b8-956a-870678b9a378;7;Juillet 2025;2025-06-30;2025-07-30;open;2026-07-13T15:21:16.500598+00:00
fe198cdc-f9dc-4b91-84e4-a1020030f12b;a57dd30f-5bef-47b8-956a-870678b9a378;8;Août 2025;2025-07-31;2025-08-30;open;2026-07-13T15:21:16.500598+00:00
4b9a0811-b295-482f-8c87-3d6460ad99ad;a57dd30f-5bef-47b8-956a-870678b9a378;9;Septembre 2025;2025-08-31;2025-09-29;open;2026-07-13T15:21:16.500598+00:00
e6cb92a6-c399-42b9-9489-c3bdc8f92344;a57dd30f-5bef-47b8-956a-870678b9a378;10;Octobre 2025;2025-09-30;2025-10-30;open;2026-07-13T15:21:16.500598+00:00
07316fb7-64e9-499a-993f-76f3441dde1b;a57dd30f-5bef-47b8-956a-870678b9a378;11;Novembre 2025;2025-10-31;2025-11-29;open;2026-07-13T15:21:16.500598+00:00
1360ea5a-642a-4ed4-be34-55f82b0c31bb;a57dd30f-5bef-47b8-956a-870678b9a378;12;Décembre 2025;2025-11-30;2025-12-30;open;2026-07-13T15:21:16.500598+00:00
